Keys,US English,Canada English,AU English,UK English,Canada French,Spain Spanish,US Spanish,Latin America Spanish,Argentina Spanish,Colombia Spanish,Mexico Spanish,German,Japanese,Korean,France French,Brazil Portuguese,Netherlands Dutch,Italy Italian
resources_contact,Contact Study Coordinator,Contact Study Coordinator,Contact Study Coordinator,Contact Study Coordinator,Contacter votre coordonnateur(trice) de l'étude,Contactar con el coordinador del estudio,Contactar al coordinador del estudio,Contactar al coordinador del estudio,Contactar al coordinador del estudio,Contactar al coordinador del estudio,Contactar al coordinador del estudio,Kontakt zum Studienkoordinator,治験コーディネーターに問い合わせ,연구 코디네이터에게 연락,Contactez le coordinateur de l’étude,Entrar em contato com o coordenador do estudo,Onderzoekscoördinator contacteren,Contatti il coordinatore dello studio
resources_about_link,About This App,About This App,About This App,About This App,À propos de cette application,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Über diese App,このアプリについて,앱 관련 정보,À propos de cette application,Sobre este aplicativo,Over deze App,Informazioni su quest’app
resources_faq_link,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Foire aux questions,Preguntas frecuentes,Preguntas frecuentes,Preguntas frecuentes,Preguntas frecuentes,Preguntas frecuentes,Preguntas frecuentes,Häufig gestellte Fragen,FAQ（よくある質問）,자주 묻는 질문,Questions fréquentes,Perguntas frequentes,Veelgestelde vragen,Domande frequenti
resources_privacy_link,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,Politique de confidentialité,Política de confidencialidad,Política de privacidad,Política de privacidad,Política de privacidad,Política de privacidad,Política de privacidad,Datenschutz- bestimmungen,個人情報保護方針,개인정보보호 정책,Politique de confidentialité,Política de privacidade,Privacybeleid,Politica sulla riservatezza
resources_nav_home,Home,Home,Home,Home,Accueil,Inicio,Inicio,Inicio,Inicio,Inicio,Inicio,Zu Hause,ホーム,홈,Accueil,Página inicial,Startpagina,Home
resources_nav_progress,Progress,Progress,Progress,Progress,Progrès,Progreso,Progreso,Progreso,Progreso,Progreso,Progreso,Fortschritt,進行状況,진행,Progrès,Progresso,Voortgang,Progressi
resources_nav_earnings,Earnings,Earnings,Earnings,Earnings,Gains,Ganancias,Ganancias,Ganancias,Ganancias,Ganancias,Ganancias,Verdienst,獲得収入,수입,0,0,0,0
resources_nav_resources,Resources,Resources,Resources,Resources,Ressources,Recursos,Recursos,Recursos,Recursos,Recursos,Recursos,Ressourcen,リソース,리소스,Ressources,Recursos,Hulpmiddelen,Risorse
availability_changetime,I would like to change the <b>time of day</b> I am available for testing.,I would like to change the <b>time of day</b> I am available for testing.,I would like to change the <b>time of day</b> I am available for testing.,I would like to change the <b>time of day</b> I am available for testing.,J’aimerais modifier l’<b>heure du jour</b> à laquelle je suis disponible pour les tests.,Me gustaría modificar la <b>hora del día</b> a la que estoy disponible para las pruebas.,Me gustaría cambiar la <b>hora del día</b> en la cual estoy disponible para las pruebas.,Me gustaría cambiar la <b>hora del día</b> en la cual estoy disponible para las pruebas.,Me gustaría cambiar la <b>hora del día</b> en la cual estoy disponible para las pruebas.,Me gustaría cambiar la <b>hora del día</b> en la cual estoy disponible para las pruebas.,Me gustaría cambiar la <b>hora del día</b> en la cual estoy disponible para las pruebas.,"Ich möchte die <b>Tageszeit</b>, zu der ich für einen Test zur Verfügung stehe, ändern.",テスト使用可能<b>時刻</b>を変更したい。,검사를 수행할 수 있는 <b>하루 중 시간</b>을 변경하고 싶습니다.,Je voudrais modifier <b>l’heure du jour</b> à laquelle je suis disponible pour un test.,Gostaria de alterar a <b>horário do dia</b> em que estou disponível para fazer os testes.,Ik wil de <b>tijd van de dag</b> wijzigen waarop ik beschikbaar ben voor de tests.,Vorrei modificare <b>l’ora del giorno</b> in cui sono disponibile per il test.
availability_changedenied_test,Check back after your test.,Check back after your test.,Check back after your test.,Check back after your test.,Revenez après votre test,Vuelve a consultar después de tu prueba,Vuelve a consultar después de tu prueba,Vuelve a consultar después de tu prueba,Vuelve a consultar después de tu prueba,Vuelve a consultar después de tu prueba,Vuelve a consultar después de tu prueba,Versuchen Sie es nach Ihrem Test erneut,テスト後にもう一度確認してください,검사 후 다시 확인하세요.,Vérifiez après votre test.,Verifique novamente após o teste.,Kom terug na uw test.,Controlli nuovamente dopo il Suo test.
availability_changedates,I would like to change the <b>dates</b> of my next <b>testing cycle</b>.,I would like to change the <b>dates</b> of my next <b>testing cycle</b>.,I would like to change the <b>dates</b> of my next <b>testing cycle</b>.,I would like to change the <b>dates</b> of my next <b>testing cycle</b>.,J’aimerais modifier les <b>dates</b> de mon prochain <b>cycle de tests</b>.,Me gustaría modificar las <b>fechas</b> de mi próximo <b>ciclo de pruebas</b>.,Me gustaría cambiar las <b>fechas</b> de mi próximo <b>ciclo de prueba</b>.,Me gustaría cambiar las <b>fechas</b> de mi próximo <b>ciclo de prueba</b>.,Me gustaría cambiar las <b>fechas</b> de mi próximo <b>ciclo de prueba</b>.,Me gustaría cambiar las <b>fechas</b> de mi próximo <b>ciclo de prueba</b>.,Me gustaría cambiar las <b>fechas</b> de mi próximo <b>ciclo de prueba</b>.,Ich möchte die <b>Daten</b> für meinen nächsten Testzyklus ändern.,次の<b>テストサイクル</b>の<b>日付</b>を変更したい。,다음 <b>검사 주기</b>의 <b>날짜</b>를 변경하고 싶습니다.,Je voudrais modifier les <b>dates</b> de mon prochain <b>cycle de test</b>.,Eu gostaria de alterar as <b>datas</b> do meu próximo <b>ciclo de testes</b>.,Ik wil de <b>datums</b> van mijn volgende <b>testcyclus</b> wijzigen.,Vorrei cambiare le <b>date</b> del mio prossimo <b>ciclo di test</b>.
HASD_contact_call1,I would like to <b>call</b> my study coordinator.,,,,J’aimerais <b>appeler</b> mon ou ma coordonnateur(trice) de l’étude.,Me gustaría <b>llamar</b> al coordinador de mi estudio.,Me gustaría <b>llamar</b> a mi coordinador del estudio.,Me gustaría <b>llamar</b> a mi coordinador del estudio.,Me gustaría <b>llamar</b> a mi coordinador del estudio.,Me gustaría <b>llamar</b> a mi coordinador del estudio.,Me gustaría <b>llamar</b> a mi coordinador del estudio.,Ich möchte meinen Studienkoordinator <b>anrufen</b>.,治験コーディネーターに<b>電話</b>したい。,0,,,,
HASD_contact_call2,+1-314-584-0560,,,,,,,,,,,,,,,,,
HASD_contact_email1,I would like to <b>email</b> my study coordinator.,,,,,,,,,,,,,,,,,
HASD_contact_email2,map.arc@wustl.edu,,,,,,,,,,,,,,,,,
DIAN_Inv_contact_email1,"For any questions, please contact your Study Coordinator. ","For any questions, please contact your Study Coordinator. ","For any questions, please contact your Study Coordinator. ","For any questions, please contact your Study Coordinator. ","Pour toute question, veuillez communiquer avec votre coordonnateur de l’étude. ","Si tiene preguntas, póngase en contacto con su coordinador del estudio. ","Si tiene alguna pregunta, comuníquese con el coordinador del estudio. ","Si tiene alguna pregunta, comuníquese con el coordinador del estudio. ","Si tiene alguna pregunta, comuníquese con el coordinador del estudio. ","Si tiene alguna pregunta, comuníquese con el coordinador del estudio. ","Si tiene alguna pregunta, comuníquese con el coordinador del estudio. ",Bei Fragen wenden Sie sich bitte an Ihren Studienkoordinator. ,質問がある場合には、治験コーディネーターまでお問い合わせください。,질문이 있으면 연구 코디네이너에게 연락하시기 바랍니다.,"Si vous avez des questions, appelez le coordinateur de l’étude. ","Para qualquer dúvida, entre em contato com o seu coordenador do estudo. ",Voor vragen kunt u contact opnemen met uw onderzoekscoördinator. ,"Per eventuali domande, contatti il Suo coordinatore dello studio. "
about_header,About this App,About this App,About this App,About this App,À propos de cette application,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Sobre esta aplicación,Über diese App,このアプリについて,앱 관련 정보,À propos de cette application,Sobre este aplicativo,Over deze App,Informazione su quest’app
DIAN_Inv_about_body,The Ambulatory Research in Cognition (ARC) app was designed by the Cognitive Technology Research Laboratory (CTRLab) in the Department of Neurology at Washington University in St. Louis for participants enrolled in the Dominantly Inherited Alzheimer Network (DIAN) studies. The ARC app assesses cognition using frequently administered but brief cognitive tests. This app is intended for use only by participants enrolled in DIAN studies.,The Ambulatory Research in Cognition (ARC) app was designed by the Cognitive Technology Research Laboratory (CTRLab) in the Department of Neurology at Washington University in St. Louis for participants enrolled in the Dominantly Inherited Alzheimer Network (DIAN) studies. The ARC app assesses cognition using frequently administered but brief cognitive tests. This app is intended for use only by participants enrolled in DIAN studies.,The Ambulatory Research in Cognition (ARC) app was designed by the Cognitive Technology Research Laboratory (CTRLab) in the Department of Neurology at Washington University in St. Louis for participants enrolled in the Dominantly Inherited Alzheimer Network (DIAN) studies. The ARC app assesses cognition using frequently administered but brief cognitive tests. This app is intended for use only by participants enrolled in DIAN studies.,The Ambulatory Research in Cognition (ARC) app was designed by the Cognitive Technology Research Laboratory (CTRLab) in the Department of Neurology at Washington University in St. Louis for participants enrolled in the Dominantly Inherited Alzheimer Network (DIAN) studies. The ARC app assesses cognition using frequently administered but brief cognitive tests. This app is intended for use only by participants enrolled in DIAN studies.,"L’application Recherche ambulatoire sur la cognition (Ambulatory Research in Cognition, ARC) a été conçue par le Cognitive Technology Research Laboratory (CTRLab) du service de neurologie de l’Université Washington de Saint-Louis pour les participants inscrits aux études du Réseau de la maladie d’Alzheimer à transmission autosomique dominante (Dominantly Inherited Alzheimer Network, DIAN). L’application ARC évalue la cognition à l’aide de tests cognitifs brefs, que l’on fait passer fréquemment. Cette application est réservée à l’usage des participants inscrits aux études DIAN.","La aplicación para la Investigación ambulatoria sobre la función cognitiva (ARC, por sus siglas en inglés) fue diseñada por el Cognitive Technology Research Laboratory, CTRLab, (Laboratorio de investigación en tecnología cognitiva) del Departamento de Neurología de la Washington University in St. Louis para los participantes en los estudios de la red de Alzheimer dominantemente heredado (DIAN). La aplicación ARC evalúa la función cognitiva mediante pruebas cognitivas breves, aunque administradas con frecuencia. La aplicación está destinada a que la utilicen únicamente los participantes de los estudios de DIAN.",La aplicación de Investigación Ambulatoría sobre la Cognición (ARC por su sigla en inglés) fue diseñada por el Laboratorio de Investigación de Tecnologías de la Cognición (CTRLab por su sigla en inglés) en el Departamento de Neurología de la Universidad de Washington en St. Louis para los participantes inscritos en los estudios la Red de Alzheimer Heredado en forma Dominante (DIAN por su sigla en inglés). La aplicación de ARC valora la cognición utilizando pruebas de cognición frecuentes pero cortas. Esta aplicación está destinada solo para el uso de los participantes inscritos en los estudios DIAN.,La aplicación de Investigación Ambulatoría sobre la Cognición (ARC por su sigla en inglés) fue diseñada por el Laboratorio de Investigación de Tecnologías de la Cognición (CTRLab por su sigla en inglés) en el Departamento de Neurología de la Universidad de Washington en St. Louis para los participantes inscritos en los estudios la Red de Alzheimer Heredado en forma Dominante (DIAN por su sigla en inglés). La aplicación de ARC valora la cognición utilizando pruebas de cognición frecuentes pero cortas. Esta aplicación está destinada solo para el uso de los participantes inscritos en los estudios DIAN.,La aplicación de Investigación Ambulatoría sobre la Cognición (ARC por su sigla en inglés) fue diseñada por el Laboratorio de Investigación de Tecnologías de la Cognición (CTRLab por su sigla en inglés) en el Departamento de Neurología de la Universidad de Washington en St. Louis para los participantes inscritos en los estudios la Red de Alzheimer Heredado en forma Dominante (DIAN por su sigla en inglés). La aplicación de ARC valora la cognición utilizando pruebas de cognición frecuentes pero cortas. Esta aplicación está destinada solo para el uso de los participantes inscritos en los estudios DIAN.,La aplicación de Investigación Ambulatoría sobre la Cognición (ARC por su sigla en inglés) fue diseñada por el Laboratorio de Investigación de Tecnologías de la Cognición (CTRLab por su sigla en inglés) en el Departamento de Neurología de la Universidad de Washington en St. Louis para los participantes inscritos en los estudios la Red de Alzheimer Heredado en forma Dominante (DIAN por su sigla en inglés). La aplicación de ARC valora la cognición utilizando pruebas de cognición frecuentes pero cortas. Esta aplicación está destinada solo para el uso de los participantes inscritos en los estudios DIAN.,La aplicación de Investigación Ambulatoría sobre la Cognición (ARC por su sigla en inglés) fue diseñada por el Laboratorio de Investigación de Tecnologías de la Cognición (CTRLab por su sigla en inglés) en el Departamento de Neurología de la Universidad de Washington en St. Louis para los participantes inscritos en los estudios la Red de Alzheimer Heredado en forma Dominante (DIAN por su sigla en inglés). La aplicación de ARC valora la cognición utilizando pruebas de cognición frecuentes pero cortas. Esta aplicación está destinada solo para el uso de los participantes inscritos en los estudios DIAN.,"Die App Ambulatory Research in Cognition (ARC) wurde vom Cognitive Technology Research Laboratory (CTRLab/Forschungslabor für kognitive Technologie) im Department of Neurology der Washington University (Abteilung für Neurologie der Washington-Universität) in St. Louis für Teilnehmer, die in die Studien des Netzwerks für die dominant vererbte Alzheimer-Krankheit (DIAN) aufgenommen wurden, entwickelt. Die ARC-App bewertet die Kognition mithilfe von häufig durchgeführten, jedoch kurzen, kognitiven Tests. Diese App soll ausschließlich von Teilnehmern der DIAN-Studien verwendet werden.",「自由行動下認知機能調査(ARC)」アプリは、優性遺伝性アルツハイマー病ネットワーク(DIAN)の研究に登録した参加者のために、セントルイスのワシントン大学神経学学部にある「認知技術調査研究所(CTRLab：Cognitive Technology Research Laboratory)」によって考案されました。ACRアプリは短時間ながら頻回に実施される認知テストを用いて認知を評価します。このアプリはDIAN研究に登録した参加者による使用だけを想定しています。,인지기능 외래연구(ARC) 앱은 세인트루이스 워싱턴대학교 신경학과의 인지 기술 연구 실험실(CTRLab)에서 우세 유전 알츠하이머병 네트워크(DIAN) 연구에 등록된 연구 참여자들을 위해 설계했습니다. ARC 앱은 자주 실시하지만 간략한 인지 검사를 사용하여 인지 능력을 평가합니다. 이 앱은 DIAN 연구에 등록된 연구 참여자전용입니다.,L’application Ambulatory Research in Cognition (ARC) a été conçue par le Cognitive Technology Research Laboratory (CTRLab) dans le Département de neurologie de l’université de Washington à St. Louis pour les participants inclus dans les études du Dominantly Inherited Alzheimer Network (DIAN). L’application ARC évalue la cognition à l'aide de tests cognitifs fréquemment administrés mais brefs. Cette application est uniquement réservée aux participants inclus dans les études DIAN.,"O aplicativo Pesquisa Ambulatória em Cognição (Ambulatory Research in Cognition, ARC) foi desenvolvido pelo Laboratório de Pesquisa e Tecnologia Cognitiva (Cognitive Technology Research Laboratory, CTRLab) do Departamento de Neurologia da Universidade de Washington em St. Louis para participantes incluídos nos estudos da Rede de Alzheimer Herdado Dominantemente (Dominantly Inherited Alzheimer Network, DIAN). O aplicativo ARC avalia a cognição usando testes cognitivos breves, mas administrados com frequência. Este aplicativo deve ser usado apenas por participantes incluídos nos estudos DIAN.","De app voor Ambulant Onderzoek naar Cognitie (Ambulatory Research in Cognition, ARC) is ontworpen door het Onderzoekslaboratorium voor cognitieve technologie (Cognitive Technology Research Laboratory, CTRLab) van de afdeling Neurologie van de Washington University in St. Louis voor deelnemers aan de onderzoeken van het Dominant erfelijke Alzheimernetwerk (Dominantly Inherited Alzheimer Network, DIAN). De ARC-app beoordeelt cognitie aan de hand van frequent afgenomen maar korte cognitieve tests. Deze app is alleen bedoeld voor deelnemers die aan DIAN-onderzoeken deelnemen.","L’app di ricerca ambulatoriale sulla cognizione (Ambulatory Research in Cognition, ARC) è stata progettata dal Laboratorio di ricerca sulla tecnologia cognitiva (Cognitive Technology Research Laboratory, CTRLab) del Dipartimento di neurologia Washington University a St. Louis, Stati Uniti, per i partecipanti arruolati agli studi Dominantly Inherited Alzheimer Network (DIAN). L’app ARC valuta la cognizione utilizzando test cognitivi brevi ma frequenti. Quest’app è destinata all’uso solo da parte dei principianti arruolati agli studi DIAN."
HASD_about_body,The Ambulatory Research in Cognition (ARC) app was designed by the Cognitive Technology Research Laboratory in the Department of Neurology at Washington University in St. Louis for participants enrolled in the Memory and Aging Project. The ARC app assesses cognition using frequently administered but brief cognitive tests. This app is intended for use only by participants enrolled in the Memory and Aging Project studies.,,,,,,,,,,,,,,,,,
faq_header,Frequently Asked Questions Topics,Frequently Asked Questions Topics,Frequently Asked Questions Topics,Frequently Asked Questions Topics,Sujets de la Foire aux questions,Temas de las preguntas frecuentes,Temas de las preguntas frecuentes,Temas de las preguntas frecuentes,Temas de las preguntas frecuentes,Temas de las preguntas frecuentes,Temas de las preguntas frecuentes,Häufig gestellte themenspezifische Fragen,FAQ（よくある質問）のトピック,자주 묻는 질문 주제,Thèmes de questions fréquentes,Tópicos de perguntas frequentes,Veelgestelde vragen onderwerpen,Argomenti delle Domande frequenti
faq_testing,Testing,Testing,Testing,Testing,Tests,Pruebas,Pruebas,Pruebas,Pruebas,Pruebas,Pruebas,Testen,テスト,검사,Tests,Testes,Test,Test
faq_earnings,Earnings,Earnings,Earnings,Earnings,Gains,Ganancias,Ganancias,Ganancias,Ganancias,Ganancias,Ganancias,Verdienst,獲得収入,수입,0,0,0,0
faq_technology,Technology,Technology,Technology,Technology,Technologie,Tecnología,Tecnología,Tecnología,Tecnología,Tecnología,Tecnología,Technik,技術,기술,Technologie,Tecnologia,Technologie,Tecnologia
faq_subpage_subheader,Tap a question to see the answer.,Tap a question to see the answer.,Tap a question to see the answer.,Tap a question to see the answer.,Appuyez sur une question pour en voir la réponse.,Toque una pregunta para ver la respuesta.,Toque una pregunta para ver la respuesta.,Toque una pregunta para ver la respuesta.,Toque una pregunta para ver la respuesta.,Toque una pregunta para ver la respuesta.,Toque una pregunta para ver la respuesta.,"Tippen Sie auf eine Frage, um die Antwort zu sehen.",質問をタップすると回答が表示されます。,질문을 눌러 답변을 확인하세요.,Appuyez sur une question pour voir la réponse.,Toque em uma pergunta para ver a resposta.,Tik op een vraag om het antwoord te zien.,Tocchi una domanda per vedere la risposta.
faq_testing_header,Testing FAQ,Testing FAQ,Testing FAQ,Testing FAQ,FAQ sur les tests,Preguntas frecuentes sobre las pruebas,Preguntas frecuentes sobre las pruebas,Preguntas frecuentes sobre las pruebas,Preguntas frecuentes sobre las pruebas,Preguntas frecuentes sobre las pruebas,Preguntas frecuentes sobre las pruebas,Häufig gestellte Fragen zu den Tests,テストに関するFAQ,검사 관련 FAQ,Questions fréquentes sur les tests,Perguntas frequentes sobre testes,Veelgestelde vragen over tests,Domande frequenti sui test
faq_testing_q1,How long do I have to take tests?,How long do I have to take tests?,How long do I have to take tests?,How long do I have to take tests?,Pendant combien de temps dois-je effectuer les tests?,¿Durante cuánto tiempo tengo que hacer pruebas?,¿Por cuánto tiempo tengo que hacer pruebas?,¿Por cuánto tiempo tengo que hacer pruebas?,¿Por cuánto tiempo tengo que hacer pruebas?,¿Por cuánto tiempo tengo que hacer pruebas?,¿Por cuánto tiempo tengo que hacer pruebas?,Wie lange muss ich Tests durchführen?,テストを受ける期間はどれくらいですか？,얼마나 오랫동안 검사를 수행해야 하나요?,Quelle est la fréquence et la durée des tests à effectuer ?,Quanto tempo tenho para fazer os testes?,Hoelang moet ik tests doen?,Quanto tempo ho per fare i test?
faq_testing_q2,Do I have to take the test as soon as I get the notification?,Do I have to take the test as soon as I get the notification?,Do I have to take the test as soon as I get the notification?,Do I have to take the test as soon as I get the notification?,Dois-je effectuer le test dès que je reçois l'avis?,¿Tengo que hacer la prueba tan pronto como reciba la notificación?,¿Tengo que hacer la prueba ni bien recibo la notificación?,¿Tengo que hacer la prueba ni bien recibo la notificación?,¿Tengo que hacer la prueba ni bien recibo la notificación?,¿Tengo que hacer la prueba ni bien recibo la notificación?,¿Tengo que hacer la prueba ni bien recibo la notificación?,Muss ich den Test sofort nach Erhalt der Benachrichtigung absolvieren?,通知が届いたらすぐにテストを受ける必要がありますか？,알림을 받으면 곧바로 검사를 수행해야 하나요?,Faut-il que j’effectue le test dès que je reçois la notification ?,Devo fazer o teste assim que receber a notificação?,Moet ik de test afleggen zodra ik de melding krijg?,Devo fare il test non appena ricevo la notifica?
faq_testing_q3,What if I miss some tests?,What if I miss some tests?,What if I miss some tests?,What if I miss some tests?,Et si je manque quelques tests?,¿Qué pasa si me salto algunas pruebas?,¿Qué pasa si omito algunas pruebas?,¿Qué pasa si omito algunas pruebas?,¿Qué pasa si omito algunas pruebas?,¿Qué pasa si omito algunas pruebas?,¿Qué pasa si omito algunas pruebas?,"Was ist, wenn ich einige Tests verpasse?",もしテストをいくつか受けられなかった場合はどうなりますか？,일부 검사를 누락하면 어떻게 되나요?,Et si je manque certains tests ?,E se eu perder alguns testes?,Wat als ik enkele tests mis?,E se salto qualche test?
faq_testing_q4,How do I know when I have finished the test?,How do I know when I have finished the test?,How do I know when I have finished the test?,How do I know when I have finished the test?,Comment puis-je savoir quand j'ai terminé le test?,¿Cómo sé cuándo he terminado la prueba?,¿Cómo sé si he terminado una prueba?,¿Cómo sé si he terminado una prueba?,¿Cómo sé si he terminado una prueba?,¿Cómo sé si he terminado una prueba?,¿Cómo sé si he terminado una prueba?,"Wie erfahre ich, wann ich den Test abgeschlossen habe?",いつテストが終了したかはどうしたらわかりますか？,검사를 완료하면 어떻게 알게 되나요?,Comment savoir quand j’ai fini le test ?,Como eu sei quando terminei o teste?,Hoe weet ik wanneer ik klaar ben met de test?,Come faccio a sapere quando ho finito il test?
faq_testing_q5,How do I know when the next week of testing starts?,How do I know when the next week of testing starts?,How do I know when the next week of testing starts?,How do I know when the next week of testing starts?,Comment puis-je savoir quand les tests de la semaine suivante commencent?,¿Cómo sé cuándo comienza la próxima semana de pruebas?,¿Cómo sé cuándo comienza la siguiente semana de pruebas?,¿Cómo sé cuándo comienza la siguiente semana de pruebas?,¿Cómo sé cuándo comienza la siguiente semana de pruebas?,¿Cómo sé cuándo comienza la siguiente semana de pruebas?,¿Cómo sé cuándo comienza la siguiente semana de pruebas?,"Wie weiß ich, wann die nächste Testwoche beginnt?",いつ次のテストの週が開始するかはどうしたらわかりますか？,언제 다음 검사 주간이 시작되는지 어떻게 알게 되나요?,Comment savoir quand la prochaine semaine de tests commence ?,Como eu sei quando começa a próxima semana de testes?,Hoe weet ik wanneer de volgende testweek begint?,Come faccio a sapere quando inizia la prossima settimana di test?
faq_testing_q6,"What should I do if I keep getting the message, ""No tests available at this time""?","What should I do if I keep getting the message, ""No tests available at this time""?","What should I do if I keep getting the message, ""No tests available at this time""?","What should I do if I keep getting the message, ""No tests available at this time""?",Que devrais-je faire si je continue de recevoir le message « Aucun test n'est disponible en ce moment »?,¿Qué debo hacer si sigo recibiendo el mensaje «No hay pruebas disponibles en este momento»?,"¿Qué debo hacer si sigo recibiendo el mensaje que dice ""No hay ninguna prueba disponible en este momento""?","¿Qué debo hacer si sigo recibiendo el mensaje que dice ""No hay ninguna prueba disponible en este momento""?","¿Qué debo hacer si sigo recibiendo el mensaje que dice ""No hay ninguna prueba disponible en este momento""?","¿Qué debo hacer si sigo recibiendo el mensaje que dice ""No hay ninguna prueba disponible en este momento""?","¿Qué debo hacer si sigo recibiendo el mensaje que dice ""No hay ninguna prueba disponible en este momento""?","Was soll ich tun, wenn ich immer wieder die Meldung „Zurzeit stehen keine Tests zur Verfügung“ erhalte?",「今利用できるテストはありません」というメッセージが表示され続ける場合、どうすればよいですか？,계속해서 “현재 이용 가능한 검사 없음” 메시지를 받으면 어떻게 해야 하나요?,Que dois-je faire si je continue à recevoir le message «Aucun test n’est disponible en ce moment » ?,O que devo fazer se continuar recebendo a mensagem “Nenhum teste disponível no momento”?,Wat moet ik doen als ik steeds het bericht krijg ‘Geen tests beschikbaar op dit moment’?,Cosa devo fare se continuo a ricevere il messaggio “Nessun test disponibile in questo momento”?
faq_testing_q7,Can I change my testing schedule?,Can I change my testing schedule?,Can I change my testing schedule?,Can I change my testing schedule?,Puis-je changer l'horaire de mes tests?,¿Puedo cambiar mi calendario de pruebas?,¿Puedo cambiar mi horario de pruebas?,¿Puedo cambiar mi horario de pruebas?,¿Puedo cambiar mi horario de pruebas?,¿Puedo cambiar mi horario de pruebas?,¿Puedo cambiar mi horario de pruebas?,Kann ich meinen Testplan ändern?,テストスケジュールを変更できますか？,검사 일정을 변경할 수 있나요?,Puis-je modifier mon calendrier de tests ?,Posso alterar minha programação de testes?,Kan ik mijn testschema wijzigen?,Posso modificare il mio programma di test?
faq_testing_q8,Can I see how I'm doing on the tests?,Can I see how I'm doing on the tests?,Can I see how I'm doing on the tests?,Can I see how I'm doing on the tests?,Puis-je voir comment je me débrouille dans les tests?,¿Puedo ver cómo me va en las pruebas?,¿Puedo ver cómo me está yendo en las pruebas?,¿Puedo ver cómo me está yendo en las pruebas?,¿Puedo ver cómo me está yendo en las pruebas?,¿Puedo ver cómo me está yendo en las pruebas?,¿Puedo ver cómo me está yendo en las pruebas?,"Kann ich sehen, wie ich bei den Tests abschneide?",自分が受けたテストの結果を見ることはできますか？,검사 수행 결과를 볼 수 있나요?,Est-ce que je peux voir comment je me débrouille dans les tests ?,Posso ver como estou me saindo nos testes?,Kan ik zien hoe ik het doe op de tests?,Posso vedere come sto andando nei test?
faq_testing_q9,Can I let my friend/grandchild/spouse take some of the tests?,Can I let my friend/grandchild/spouse take some of the tests?,Can I let my friend/grandchild/spouse take some of the tests?,Can I let my friend/grandchild/spouse take some of the tests?,Puis-je permettre à un ami/petit-enfant/conjoint d'effectuer quelques tests?,¿Puedo dejar que mi amigo/nieto/cónyuge haga algunas de las pruebas?,¿Puedo dejar que un amigo/nieto/cónyuge hagan algunas de las pruebas?,¿Puedo dejar que un amigo/nieto/cónyuge hagan algunas de las pruebas?,¿Puedo dejar que un amigo/nieto/cónyuge hagan algunas de las pruebas?,¿Puedo dejar que un amigo/nieto/cónyuge hagan algunas de las pruebas?,¿Puedo dejar que un amigo/nieto/cónyuge hagan algunas de las pruebas?,Kann ich meinen Freund/Enkel/Ehepartner einige der Tests machen lassen?,一部のテストを友達／孫／配偶者に受けさせても良いですか？,친구/손자/배우자가 일부 검사를 수행하게 해도 되나요?,Est-ce que je peux laisser mon ami/petit-enfant/conjoint effectuer certains des tests ?,Posso deixar meu amigo/neto/cônjuge fazer alguns dos testes?,Mag ik mijn vriend(in)/kleinkind/echtgenoot enkele tests laten doen?,Posso lasciare che un mio amico/nipote/coniuge faccia alcuni dei test?
faq_testing_q10,I'm not sure I'm doing the test correctly. Can I practice?,I'm not sure I'm doing the test correctly. Can I practice?,I'm not sure I'm doing the test correctly. Can I practice?,I'm not sure I'm doing the test correctly. Can I practice?,Je ne suis pas sûr de bien effectuer le test. Puis-je m'exercer?,No estoy seguro/a de estar haciendo la prueba correctamente. ¿Puedo practicar?,No estoy seguro de estar haciendo las pruebas correctamente. ¿Puedo practicar?,No estoy seguro de estar haciendo las pruebas correctamente. ¿Puedo practicar?,No estoy seguro de estar haciendo las pruebas correctamente. ¿Puedo practicar?,No estoy seguro de estar haciendo las pruebas correctamente. ¿Puedo practicar?,No estoy seguro de estar haciendo las pruebas correctamente. ¿Puedo practicar?,"Ich bin mir nicht sicher, ob ich den Test richtig mache. Kann ich üben?",テストを正しく行えているか自信がありません。練習することはできますか？,검사를 올바르게 수행하고 있는지 잘 모르겠습니다. 연습할 수 있나요?,Je ne suis pas sûr(e) de faire le test correctement. Est-ce que je peux m’entraîner ?,Não tenho certeza se estou fazendo o teste corretamente. Posso praticar?,Ik weet niet zeker of ik de test correct uitvoer. Kan ik oefenen?,Non sono sicuro/a di fare il test correttamente. Posso esercitarmi?
